,FID,Long,Lat,ID,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_20_100mm,bio_21,bio_22,bio_23,bio_24,bio_25,bio_26,bio_27,bio_28,bio_29
3117,3117,-73.375378,6.899325,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3118,3118,-73.37611,6.896442,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3119,3119,-73.375279,6.895883,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3120,3120,-73.375676,6.895355,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3121,3121,-73.376268,6.896125,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3122,3122,-73.376271,6.896147,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3123,3123,-73.375631,6.895302,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3124,3124,-73.375732,6.895145,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3125,3125,-73.376523,6.895475,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3126,3126,-73.378446,6.892086,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3127,3127,-73.378074,6.891679,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3128,3128,-73.377606,6.891953,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3129,3129,-73.378179,6.892599,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3130,3130,-73.37821,6.892603,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3131,3131,-73.377582,6.89199,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3132,3132,-73.377331,6.89233,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3133,3133,-73.378126,6.892935,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3134,3134,-73.376449,6.897042,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3135,3135,-73.377024,6.897111,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3136,3136,-73.376719,6.897989,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3137,3137,-73.376051,6.897809,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3138,3138,-73.376426,6.897016,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3139,3139,-73.375999,6.896823,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3140,3140,-73.375848,6.897772,3,238,85,90,307,285,191,94,234,238,241,233,1463,202,72,34,498,224,237,433,4,55375,6,5142,4248,894,4516,4516,4902,4330
3141,3141,-73.464358,6.851945,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3142,3142,-73.467467,6.85137,3,251,89,91,265,300,203,97,247,252,254,247,1986,278,97,36,675,314,333,608,1,58913,9,5446,4261,1184,4674,4674,4991,4332
3143,3143,-73.468636,6.851636,3,251,89,91,265,300,203,97,247,252,254,247,1986,278,97,36,675,314,333,608,1,58913,9,5446,4261,1184,4674,4674,4991,4332
3144,3144,-73.468419,6.851091,3,251,89,91,265,300,203,97,247,252,254,247,1986,278,97,36,675,314,333,608,1,58913,9,5446,4261,1184,4674,4674,4991,4332
3145,3145,-73.467462,6.851288,3,251,89,91,265,300,203,97,247,252,254,247,1986,278,97,36,675,314,333,608,1,58913,9,5446,4261,1184,4674,4674,4991,4332
3146,3146,-73.465434,6.849561,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3147,3147,-73.462702,6.84988,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3148,3148,-73.457476,6.850938,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3149,3149,-73.455437,6.851821,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3150,3150,-73.455452,6.853201,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3151,3151,-73.458282,6.852781,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3152,3152,-73.457816,6.851269,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3153,3153,-73.458035,6.85203,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3154,3154,-73.458438,6.85139,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3155,3155,-73.458277,6.850917,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3156,3156,-73.457764,6.84892,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3157,3157,-73.457748,6.850337,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3158,3158,-73.456507,6.849765,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3159,3159,-73.455497,6.851754,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3160,3160,-73.455505,6.84816,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3161,3161,-73.457293,6.848271,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3162,3162,-73.459547,6.844408,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3163,3163,-73.460224,6.843303,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3164,3164,-73.45953,6.84336,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3165,3165,-73.458969,6.844109,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3166,3166,-73.459013,6.843963,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3167,3167,-73.45937,6.843316,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3168,3168,-73.456755,6.842494,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3169,3169,-73.455941,6.843404,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3170,3170,-73.457124,6.843625,3,255,92,92,266,305,206,99,251,255,257,251,1961,281,92,36,672,310,335,602,1,60531,7,5420,4386,1034,4752,4752,5302,4563
3171,3171,-73.459215,6.848566,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3172,3172,-73.459328,6.849518,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3173,3173,-73.460628,6.84866,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3174,3174,-73.460337,6.84836,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3175,3175,-73.4611,6.847535,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3176,3176,-73.461719,6.848069,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3177,3177,-73.462038,6.847811,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3178,3178,-73.458021,6.853394,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3179,3179,-73.457012,6.854775,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3180,3180,-73.45604,6.853911,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3181,3181,-73.456708,6.853547,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3182,3182,-73.456751,6.853685,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3183,3183,-73.456998,6.853124,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3184,3184,-73.455961,6.853911,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3185,3185,-73.455532,6.853392,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3186,3186,-73.457772,6.853995,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3187,3187,-73.458603,6.856189,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3188,3188,-73.4571,6.854953,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3189,3189,-73.417603,6.881945,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3190,3190,-73.417581,6.881952,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3191,3191,-73.417586,6.881951,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3192,3192,-73.417585,6.881952,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3193,3193,-73.417555,6.881952,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3194,3194,-73.417569,6.881951,3,255,93,92,273,306,205,101,251,255,257,250,1854,266,91,36,632,299,325,572,2,60330,7,5450,4389,1061,4752,4752,5069,4591
3195,3195,-73.455765,6.857741,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3196,3196,-73.453871,6.855891,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3197,3197,-73.453222,6.855177,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3198,3198,-73.453967,6.854687,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3199,3199,-73.453962,6.854467,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3200,3200,-73.454588,6.854519,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3201,3201,-73.45629,6.856288,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3202,3202,-73.456287,6.856333,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3203,3203,-73.456893,6.857027,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3204,3204,-73.456923,6.857031,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3205,3205,-73.456656,6.857203,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3206,3206,-73.456038,6.856979,3,248,87,91,273,296,201,95,244,248,250,243,1909,262,99,35,644,305,317,585,1,58361,8,5309,4319,989,4643,4643,5186,4392
3207,3207,-73.459316,6.85314,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3208,3208,-73.458966,6.854218,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3209,3209,-73.458717,6.856048,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3210,3210,-73.460307,6.854533,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3211,3211,-73.460135,6.853286,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3212,3212,-73.460344,6.852695,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3213,3213,-73.461231,6.85326,3,247,86,90,269,294,199,95,243,247,249,242,1906,261,96,35,644,299,311,578,2,57167,7,5263,4280,983,4632,4632,5069,4348
3214,3214,-73.462042,6.847821,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3215,3215,-73.461728,6.848072,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3216,3216,-73.462368,6.848699,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3217,3217,-73.462439,6.848445,3,245,85,90,289,292,198,94,241,245,247,240,1872,255,91,35,635,287,299,561,3,56009,6,5015,4253,762,4492,4492,4853,4296
3218,3218,-73.422987,6.913159,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3219,3219,-73.423385,6.913344,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3220,3220,-73.423463,6.913637,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3221,3221,-73.42284,6.913996,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3222,3222,-73.417251,6.9241,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3223,3223,-73.417651,6.923825,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3224,3224,-73.417061,6.923473,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3225,3225,-73.416748,6.923354,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3226,3226,-73.416865,6.923058,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3227,3227,-73.416217,6.923036,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3228,3228,-73.416144,6.923482,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3229,3229,-73.414244,6.926939,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3230,3230,-73.413994,6.926611,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3231,3231,-73.413529,6.926885,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3232,3232,-73.413863,6.927322,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3233,3233,-73.414252,6.927492,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3234,3234,-73.415105,6.924895,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3235,3235,-73.415218,6.924971,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3236,3236,-73.415225,6.925594,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3237,3237,-73.415685,6.925967,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3238,3238,-73.415596,6.92651,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3239,3239,-73.415199,6.926378,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3240,3240,-73.414946,6.926772,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3241,3241,-73.4153,6.927043,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3242,3242,-73.416521,6.927297,3,268,100,93,243,323,216,107,265,269,271,265,2007,309,83,37,717,312,517,633,1,64587,9,6244,4671,1573,5073,5073,5654,4860
3243,3243,-73.416955,6.925661,3,258,95,93,234,310,208,102,255,258,260,254,1893,277,89,36,651,305,340,585,2,61099,8,5823,4586,1237,4865,4865,5328,4633
3244,3244,-73.41675,6.924936,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3245,3245,-73.416498,6.924928,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3246,3246,-73.416018,6.924514,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3247,3247,-73.415563,6.924146,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3248,3248,-73.415341,6.924396,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3249,3249,-73.414865,6.924309,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3250,3250,-73.415172,6.924945,3,269,100,92,246,324,216,108,265,269,271,265,2011,309,83,37,718,313,519,633,1,64831,8,6111,4728,1383,5124,5124,5600,4915
3251,3251,-73.419219,6.915061,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3252,3252,-73.420252,6.915549,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3253,3253,-73.419871,6.916361,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3254,3254,-73.419761,6.916406,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3255,3255,-73.4197,6.916867,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3256,3256,-73.419387,6.916757,3,258,95,93,238,310,208,102,255,258,261,254,1895,278,89,36,653,305,481,586,2,61280,8,5871,4557,1314,4855,4855,5372,4638
3257,3257,-73.419554,6.916485,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3258,3258,-73.419478,6.91617,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3259,3259,-73.419053,6.916199,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3260,3260,-73.419002,6.915686,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3261,3261,-73.424466,6.910766,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3262,3262,-73.42475,6.90961,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3263,3263,-73.424818,6.90927,3,268,100,93,257,322,215,107,264,268,270,264,2015,310,83,37,718,313,521,632,1,64961,9,6364,4867,1497,5169,5169,5621,4948
3264,3264,-73.425178,6.909301,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3265,3265,-73.425645,6.908961,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3266,3266,-73.425806,6.908905,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3267,3267,-73.425994,6.909097,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3268,3268,-73.426205,6.908814,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3269,3269,-73.426342,6.909014,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3270,3270,-73.427307,6.908031,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3271,3271,-73.428057,6.907209,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3272,3272,-73.428361,6.907696,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3273,3273,-73.428507,6.907907,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3274,3274,-73.428502,6.908056,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3275,3275,-73.428682,6.908204,3,265,98,92,248,319,213,106,261,265,267,261,2000,304,84,37,705,313,359,623,1,64232,7,5849,4774,1076,5196,5196,5601,4863
3276,3276,-73.42901,6.908416,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
3277,3277,-73.429057,6.908606,3,251,90,91,273,301,203,98,247,251,253,246,1840,257,96,35,619,302,322,567,2,59670,9,5791,4367,1424,4696,4696,5116,4441
