,FID,Long,Lat,ID,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_20_100mm,bio_21,bio_22,bio_23,bio_24,bio_25,bio_26,bio_27,bio_28,bio_29
36,36,-71.35542323,6.952323956,2,260,110,80,538,333,197,136,254,266,267,253,2302,379,23,59,963,113,296,932,4,64719,13,6684,4475,2209,4612,4612,6020,4775
37,37,-71.85786452,6.931039742,2,253,107,85,413,319,194,125,248,254,258,247,3160,475,59,51,1253,250,529,1196,2,60720,8,5720,4453,1267,4567,4567,5055,4843
38,38,-71.87102692,6.668119338,2,236,105,85,458,302,179,123,231,238,242,230,3815,620,57,56,1618,257,627,1572,2,57076,8,5405,3983,1421,4253,4253,4996,4449
39,39,-71.75365004,6.189463681,2,261,102,80,681,330,204,126,253,266,269,251,2762,437,28,58,1140,148,428,1109,4,60108,11,6152,4173,1979,4455,4455,5309,4629
40,40,-74.95268565,3.16747851,2,198,87,84,288,248,145,103,196,196,201,195,1848,248,96,33,638,311,350,368,1,45718,9,4288,3415,873,3520,3520,3928,3766
41,41,-75.04775898,3.02384933,2,202,92,85,249,254,147,107,200,200,204,199,1809,250,85,35,644,284,363,316,2,48197,11,4765,3380,1386,3769,3769,4417,3972
42,42,-75.30949296,2.999660598,2,270,114,85,516,342,209,133,264,273,276,264,1259,202,21,57,530,79,95,530,4,63862,10,6438,4693,1745,5025,5025,5511,5025
43,43,-75.41639701,2.856008474,2,246,111,88,317,312,186,126,242,247,249,242,1586,246,33,50,639,133,135,639,4,61105,11,5993,4434,1560,4731,4731,5396,4731
44,44,-75.20216818,2.748585917,2,207,99,86,256,264,150,114,204,207,209,204,1591,206,71,33,549,234,369,549,3,48910,9,4706,3656,1050,3842,3842,4420,3842
45,45,-75.63042472,2.795940916,2,172,97,91,209,225,119,106,170,170,174,170,1974,252,81,32,630,287,493,400,2,42988,10,4157,3036,1121,3180,3180,3677,3497
46,46,-75.6895351,2.520802129,2,234,108,89,244,295,174,121,232,231,237,231,1541,232,38,49,585,130,443,130,4,57528,8,5478,4222,1256,4675,4675,5247,4565
47,47,-75.52316655,2.616678706,2,252,112,88,272,317,190,127,249,252,254,249,1489,231,37,48,580,142,412,580,4,60469,12,5976,4206,1769,4731,4731,5450,5118
48,48,-75.35668272,2.633605678,2,257,113,88,296,323,196,127,254,258,259,254,1435,240,41,49,570,139,369,570,4,61340,11,5983,4290,1693,5006,5006,5686,5006
49,49,-75.44219705,2.523478511,2,231,109,88,253,292,169,123,228,230,233,228,1344,187,45,41,485,154,364,485,4,57744,12,5747,4002,1745,4655,4655,5439,4655
50,50,-75.52764875,2.365513329,2,223,104,89,266,281,165,116,221,221,225,219,1335,164,58,32,433,192,340,208,4,52592,10,5108,3861,1248,4270,4270,4548,4194
51,51,-75.53225981,2.221988279,2,201,91,90,243,252,151,101,203,199,203,197,1645,216,93,26,525,315,351,358,2,44011,10,4426,3253,1173,3631,3631,3980,3434
52,52,-75.72730068,2.283968502,2,234,106,89,287,293,175,118,234,231,237,230,1298,183,46,36,439,168,353,192,4,56134,10,5613,4113,1500,4598,4598,4860,4388
53,53,-76.06969486,2.312228056,2,169,106,89,185,229,111,118,168,167,170,167,1782,216,104,23,576,361,409,418,0,43892,7,4205,3306,899,3413,3413,3638,3515
54,54,-75.9694133,1.958428086,2,191,100,90,182,247,137,110,189,191,193,189,1559,162,86,20,472,283,376,438,2,46321,10,4736,3330,1406,3491,3491,3777,3709
55,55,-75.63189299,1.987480088,2,153,93,89,324,205,101,104,154,154,156,148,2165,246,116,23,697,369,541,619,0,37683,9,3629,2724,905,2926,2926,3257,2904
56,56,-76.11654765,1.762170478,2,192,101,90,182,249,137,112,190,192,194,190,1779,218,88,27,605,277,396,580,3,46066,10,4700,3277,1424,3478,3478,3780,3676
57,57,-77.3425095,1.927636325,2,193,100,84,393,255,136,119,186,196,196,186,2128,329,45,52,918,174,320,918,3,48596,8,4483,3532,951,3602,3602,4085,3602
58,58,-77.36121325,1.769936418,2,186,97,85,413,246,132,114,180,189,189,180,1802,276,34,52,769,141,520,769,4,47747,8,4425,3420,1005,3536,3536,3896,3536
59,59,-78.34007099,2.267429565,2,259,65,87,288,298,224,74,262,256,263,256,3990,506,232,25,1362,807,1139,807,0,42021,11,4142,2889,1253,3642,3642,3812,3268
60,60,-78.37467626,1.909422015,2,259,64,87,253,297,224,73,261,256,262,256,4295,553,244,28,1534,802,1347,802,0,40233,11,3998,2814,1184,3425,3425,3642,3175
61,61,-78.62282727,1.574846479,2,255,66,85,325,295,218,77,258,252,260,252,3080,413,136,37,1177,473,1055,503,0,38737,8,3572,2837,735,3255,3255,3458,3145
62,62,-75.82030178,6.505765207,2,264,111,84,566,334,203,131,260,271,271,257,1409,196,25,46,503,124,124,469,4,70214,9,6651,5152,1499,5623,5623,6589,5343
63,63,-75.66462031,6.422571669,2,166,99,86,436,224,109,115,162,167,172,161,1690,222,55,36,553,226,491,482,4,51542,8,4820,3657,1163,4004,4004,4339,3892
64,64,-75.7220442,5.645127008,2,190,94,91,322,244,141,103,186,189,194,185,2500,304,103,31,807,364,723,709,0,52268,9,4839,3648,1191,4021,4021,4339,3865
65,65,-76.34927102,6.984183917,2,235,103,83,382,299,176,123,232,238,240,230,2718,353,73,39,923,266,442,917,2,62984,8,5768,4708,1060,5145,5145,5699,4862
66,66,-76.63523149,7.628047336,2,269,88,85,303,323,220,103,269,271,274,266,3515,433,73,45,1233,246,445,974,3,63135,9,6200,4645,1555,5074,5074,5926,4735
67,67,-76.56967648,7.886569955,2,254,88,88,243,307,207,100,253,256,258,252,2634,309,79,39,870,241,402,728,3,61242,10,5893,4221,1672,4982,4982,5677,4406
68,68,-76.61915879,8.134839843,2,264,80,89,197,308,219,89,261,265,265,261,2286,281,73,35,730,255,389,730,3,59662,7,5405,4403,1002,4882,4882,5259,4882
